category,website_count
Top/Shopping/Antiques_and_Collectibles,2498
Top/Shopping/Auctions,203
Top/Shopping/By_Region,1
Top/Shopping/Children,666
Top/Shopping/Classifieds,282
Top/Shopping/Clothing,3668
Top/Shopping/Consumer_Electronics,2020
Top/Shopping/Crafts,4711
Top/Shopping/Death_Care,143
Top/Shopping/Directories,13
Top/Shopping/Entertainment,1684
Top/Shopping/Ethnic_and_Regional,717
Top/Shopping/Flowers,732
Top/Shopping/Food,4781
Top/Shopping/General_Merchandise,571
Top/Shopping/Gifts,925
Top/Shopping/Health,3946
Top/Shopping/Holidays,443
Top/Shopping/Home_and_Garden,6259
Top/Shopping/Jewelry,1629
Top/Shopping/Music,1416
Top/Shopping/Niche,479
Top/Shopping/Office_Products,518
Top/Shopping/Pets,1438
Top/Shopping/Photography,415
Top/Shopping/Publications,2130
Top/Shopping/Recreation,3378
Top/Shopping/Sports,3922
Top/Shopping/Tobacco,223
Top/Shopping/Tools,587
Top/Shopping/Toys_and_Games,1072
Top/Shopping/Travel,129
Top/Shopping/Vehicles,3111
Top/Shopping/Visual_Arts,2946
Top/Shopping/Weddings,174
